stage_event_id,opportunity_id,stage_name,entered_at,exited_at,stage_sequence
stage_00000301,opp_00000076,negotiation,2025-03-27 16:00:00,2025-02-20 00:00:00,5
stage_00000302,opp_00000077,qualification,2025-08-25 15:00:00,2025-09-11 15:00:00,1
stage_00000303,opp_00000077,discovery,2025-09-11 15:00:00,2025-09-28 15:00:00,2
stage_00000304,opp_00000077,demonstration,2025-09-28 15:00:00,2025-10-18 15:00:00,3
stage_00000305,opp_00000078,qualification,2024-09-23 16:00:00,2024-10-13 16:00:00,1
stage_00000306,opp_00000078,discovery,2024-10-13 16:00:00,2024-10-25 16:00:00,2
stage_00000307,opp_00000078,demonstration,2024-10-25 16:00:00,2024-11-07 16:00:00,3
stage_00000308,opp_00000079,qualification,2024-03-23 11:00:00,2024-04-02 11:00:00,1
stage_00000309,opp_00000079,discovery,2024-04-02 11:00:00,2024-04-07 11:00:00,2
stage_00000310,opp_00000079,demonstration,2024-04-07 11:00:00,2024-04-18 11:00:00,3
stage_00000311,opp_00000079,proposal,2024-04-18 11:00:00,2024-04-28 11:00:00,4
stage_00000312,opp_00000079,negotiation,2024-04-28 11:00:00,2024-05-22 00:00:00,5
stage_00000313,opp_00000080,qualification,2026-02-27 13:00:00,2026-03-13 13:00:00,1
stage_00000314,opp_00000080,discovery,2026-03-13 13:00:00,2026-03-26 13:00:00,2
stage_00000315,opp_00000080,demonstration,2026-03-26 13:00:00,2026-04-05 13:00:00,3
stage_00000316,opp_00000080,proposal,2026-04-05 13:00:00,2026-04-12 13:00:00,4
stage_00000317,opp_00000080,negotiation,2026-04-12 13:00:00,2026-04-12 00:00:00,5
stage_00000318,opp_00000081,qualification,2024-08-21 08:00:00,2024-08-25 08:00:00,1
stage_00000319,opp_00000081,discovery,2024-08-25 08:00:00,2024-09-01 08:00:00,2
stage_00000320,opp_00000081,demonstration,2024-09-01 08:00:00,2024-09-10 08:00:00,3
stage_00000321,opp_00000081,proposal,2024-09-10 08:00:00,2024-09-22 08:00:00,4
stage_00000322,opp_00000081,negotiation,2024-09-22 08:00:00,2024-09-28 00:00:00,5
stage_00000323,opp_00000082,qualification,2024-07-10 16:00:00,2024-07-29 16:00:00,1
stage_00000324,opp_00000082,discovery,2024-07-29 16:00:00,2024-08-12 16:00:00,2
stage_00000325,opp_00000082,demonstration,2024-08-12 16:00:00,2024-08-25 16:00:00,3
stage_00000326,opp_00000082,proposal,2024-08-25 16:00:00,2024-08-29 16:00:00,4
stage_00000327,opp_00000083,qualification,2025-07-17 18:00:00,2025-07-22 18:00:00,1
stage_00000328,opp_00000083,discovery,2025-07-22 18:00:00,2025-08-11 18:00:00,2
stage_00000329,opp_00000083,demonstration,2025-08-11 18:00:00,2025-08-28 18:00:00,3
stage_00000330,opp_00000083,proposal,2025-08-28 18:00:00,2025-09-07 18:00:00,4
stage_00000331,opp_00000083,negotiation,2025-09-07 18:00:00,2025-09-16 18:00:00,5
stage_00000332,opp_00000084,qualification,2024-10-18 12:00:00,2024-11-07 12:00:00,1
stage_00000333,opp_00000084,discovery,2024-11-07 12:00:00,2024-11-21 12:00:00,2
stage_00000334,opp_00000084,demonstration,2024-11-21 12:00:00,2024-11-30 12:00:00,3
stage_00000335,opp_00000085,qualification,2024-10-03 08:00:00,2024-10-15 08:00:00,1
stage_00000336,opp_00000086,qualification,2025-03-08 13:00:00,2025-03-13 13:00:00,1
stage_00000337,opp_00000086,discovery,2025-03-13 13:00:00,2025-03-17 13:00:00,2
stage_00000338,opp_00000086,demonstration,2025-03-17 13:00:00,2025-03-28 13:00:00,3
stage_00000339,opp_00000086,proposal,2025-03-28 13:00:00,2025-04-04 13:00:00,4
stage_00000340,opp_00000086,negotiation,2025-04-04 13:00:00,2025-04-21 13:00:00,5
stage_00000341,opp_00000087,qualification,2025-03-18 14:00:00,2025-03-31 14:00:00,1
stage_00000342,opp_00000088,qualification,2026-05-05 08:00:00,2026-05-19 08:00:00,1
stage_00000343,opp_00000088,discovery,2026-05-19 08:00:00,2026-06-08 08:00:00,2
stage_00000344,opp_00000088,demonstration,2026-06-08 08:00:00,2026-06-17 08:00:00,3
stage_00000345,opp_00000089,qualification,2024-04-27 15:00:00,2024-05-02 15:00:00,1
stage_00000346,opp_00000090,qualification,2024-07-19 10:00:00,2024-07-28 10:00:00,1
stage_00000347,opp_00000090,discovery,2024-07-28 10:00:00,2024-08-17 10:00:00,2
stage_00000348,opp_00000090,demonstration,2024-08-17 10:00:00,2024-09-01 10:00:00,3
stage_00000349,opp_00000090,proposal,2024-09-01 10:00:00,2024-09-16 10:00:00,4
stage_00000350,opp_00000090,negotiation,2024-09-16 10:00:00,2024-09-08 00:00:00,5
stage_00000351,opp_00000091,qualification,2026-05-06 10:00:00,2026-05-20 10:00:00,1
stage_00000352,opp_00000091,discovery,2026-05-20 10:00:00,2026-06-10 10:00:00,2
stage_00000353,opp_00000091,demonstration,2026-06-10 10:00:00,2026-06-15 10:00:00,3
stage_00000354,opp_00000091,proposal,2026-06-15 10:00:00,2026-06-26 10:00:00,4
stage_00000355,opp_00000091,negotiation,2026-06-26 10:00:00,2026-05-26 00:00:00,5
